Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
Português (Brasil)‎,25-34 years old,Master's Degree,Brazil,Working with GIS,Advanced,No,More than 10 years,1 time per day,Application that uses OSM data,I use it for work;I use it for navigation/GPS;,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,2 times per week,Geographic database,2 times per week,1 time a month,Yes,,Maps.me;OSMAnd;Google Maps;Organic Maps,GeoJSON / JSON / XML;.ai / psd / SVG;JPG / PNG,Directly in OSM.org; Overpass Turbo;APIs and/or Plugins,4,3,3,5,3,4,3,3,3,4,3,3,2,4,3,Precise,Confusing,Very confusing,Confusing,Neutral - Neither complicated nor simple,Complicated,,Complicated,Strongly agree,Strongly agree,Strongly agree
Português (Brasil)‎,25-34 years old,Master's Degree,Brazil,Working with GIS,Advanced,Yes,5 to 10 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To edit;To check the history of edits and comments;To see the rendered data,1 time per day,Collaborative map,1 time a month,1 time a month,No,,Organic Maps;Google Maps;Waze;Apple Maps,,,3,4,4,5,4,2,1,4,4,4,2,3,3,2,3,Precise,Clear,Clear,Clear,Complicated,Very complicated,Very Complicated,Very complicated,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,55-64 years old,Doctorate/PhD,Brazil,I have little or no experience with GIS,Intermediary,No,Less than 1 year,1 time a month,Through a friend or family member,I use it academically (school or college),Corporate (work),To see the rendered data;Read diary entries,1 time a week,Collaborative map,I can't remember or I don't use it,1 time a month,No,,Google Maps,,,4,3,3,5,3,3,3,3,3,3,3,3,3,3,3,Precise,Clear,Clear,Clear,Simple,Simple,Simple,Simple,More or less agree,More or less agree,More or less agree
Português (Brasil)‎,45-54 years old,Doctorate/PhD,Brazil,Working with GIS,Intermediary,Yes,More than 10 years,2 times per week,Web Search,I use it academically (school or college);I use it for navigation/GPS;I use it for work,YouthMappers,To upload GPS traces;To edit;Read diary entries,1 time a month,Geographic database,I can't remember or I don't use it,1 time a month,Yes,1 time a week,OSMAnd;Google Maps;Waze,Shapefile;GeoJSON / JSON / XML;.OSM / .PBF,GeoFabrik;APIs and/or Plugins,4,4,4,5,4,3,4,4,4,4,4,5,4,4,4,Precise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,More or less agree
Português (Brasil)‎,18-24 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Intermediary,Yes,1 to 5 years,1 time a month,YouthMappers,I use it academically (school or college),YouthMappers,To edit,1 time per day,Collaborative map,1 time a month,1 time a month,No,,Google Maps;OSMAnd,,,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,Precise,Clear,Clear,Clear,Simple,Simple,Neutral - Neither complicated nor simple,Simple,More or less agree,Strongly agree,More or less agree
Português (Brasil)‎,35-44 years old,Master's Degree,Brazil,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,2 times per week,Through a friend or family member,I use it for work;I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,2 times per week,Geographic database,1 time a month,1 time a month,Yes,1 time a month,Google Maps;Organic Maps;Waze;OSMAnd,GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo;BBBike,3,3,4,5,5,5,5,5,3,4,5,5,5,3,4,Neutral - Neither imprecise nor precise,Confusing,Confusing,,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Complicated,Strongly agree,Strongly agree,More or less agree
Português (Brasil)‎,18-24 years old,Undergraduate or Bachelor's degree,Brazil,I am a GIS student,Basic,Yes,Less than 1 year,2 times per week,Through a friend or family member,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,1 time a week,Geographic database,I can't remember or I don't use it,1 time a month,No,,Google Maps,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Precise,Clear,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Italy,Working with GIS,Advanced,Yes,More than 10 years,1 time a week,Work,I use it for work,Corporate (work),To see the rendered data;To edit,2 times per week,Geographic database,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Google Maps;OSMAnd;Organic Maps,GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo;APIs and/or Plugins,4,5,4,5,3,5,5,4,5,5,4,5,2,5,4,Imprecise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
Português (Brasil)‎,18-24 years old,Undergraduate or Bachelor's degree,Brazil,I have little or no experience with GIS,Advanced,No,1 to 5 years,1 time a month,Web Search,I use it for navigation/GPS,Hobbyist/community,To check the history of edits and comments;To see the rendered data;To edit,1 time a month,Collaborative map,1 time a month,1 time a month,No,,OSMAnd;Google Maps,,,4,4,5,3,4,4,4,4,3,4,2,3,4,4,5,Imprecise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Complicated,Complicated,Very complicated,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,United Kingdom,I have little or no experience with GIS,Native,Yes,1 to 5 years,More than once a day,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;Add and edit Notes;To check the history of edits and comments,2 times per week,Collaborative map,1 time a month,1 time a month,Yes,1 time a month,Organic Maps;Google Maps,.OSM / .PBF;GeoJSON / JSON / XML,Overpass Turbo;GeoFabrik,4,3,2,5,4,5,5,5,5,3,5,5,5,4,5,Imprecise,Confusing,Confusing,Confusing,Very Simple,Very Simple,Complicated,Neutral - Neither complicated nor simple,Strongly agree,More or less disagree,Neither agree nor disagree
